Filename	StartTimeStamp	XIC-WideFrac	XIC-FWHM-Q1	XIC-FWHM-Q2	XIC-FWHM-Q3	XIC-Height-Q2	XIC-Height-Q3	XIC-Height-Q4	RT-Duration	RT-TIC-Q1	RT-TIC-Q2	RT-TIC-Q3	RT-TIC-Q4	RT-MS-Q1	RT-MS-Q2	RT-MS-Q3	RT-MS-Q4	RT-MSMS-Q1	RT-MSMS-Q2	RT-MSMS-Q3	RT-MSMS-Q4	MS1-TIC-Change-Q2	MS1-TIC-Change-Q3	MS1-TIC-Change-Q4	MS1-TIC-Q2	MS1-TIC-Q3	MS1-TIC-Q4	MS1-Count	MS1-Freq-Max	MS1-Density-Q1	MS1-Density-Q2	MS1-Density-Q3	MS2-Count	MS2-Freq-Max	MS2-Density-Q1	MS2-Density-Q2	MS2-Density-Q3	MS2-PrecZ-1	MS2-PrecZ-2	MS2-PrecZ-3	MS2-PrecZ-4	MS2-PrecZ-5	MS2-PrecZ-more	MS2-PrecZ-likely-1	MS2-PrecZ-likely-multi
"SA2-1-6_121028071903.mzML"	2012-10-28T07:19:02Z	0.162805	19.4374	26.1146	36.3523	0.899689	0.935137	4.52318	7200.57	0.535889	0.0885109	0.132242	0.243358	0.228504	0.26439	0.262139	0.244967	0.28767	0.225816	0.22016	0.266354	1.15009	0.852722	3.01716	3.18412	0.653202	0.737626	6072	1.18147	2848	3279	4029.5	23998	4.59615	180	295	474	0	0.398867	0.472914	0.103217	0.0190016	0.0060005	0	0
"SA2-1-6.mzML"	2012-10-28T05:07:29Z	0.15885	25.9659	33.7297	42.6696	1.0034	0.914121	4.31365	7200.88	0.511342	0.126187	0.121415	0.241056	0.23261	0.270289	0.260175	0.236925	0.282749	0.226073	0.220027	0.271151	1.14863	0.946371	3.29997	3.09681	0.638616	0.667037	6114	1.18994	2980	3405	4116	24413	4.61664	181	292	469	0	0.39651	0.474542	0.10351	0.0195797	0.00585753	0	0
"SA2-1-7.mzML"	2012-10-28T09:30:46Z	0.159359	28.5183	35.9595	43.1925	0.909421	0.824571	3.35902	7200.07	0.332124	0.123539	0.170221	0.374116	0.229147	0.267725	0.267769	0.235359	0.285928	0.230489	0.204629	0.278953	1.18188	0.937201	3.62033	1.06853	0.763294	0.608007	5918	1.18913	3033	3507	4487	25157	4.84781	194	325	537	0	0.425846	0.454029	0.0899551	0.0208689	0.00930159	0	0
"SA2-1-7_121028114221.mzML"	2012-10-28T11:42:21Z	0.160671	25.423	33.4426	41.5351	1.01542	0.910118	3.50397	7199.67	0.320528	0.134725	0.165338	0.379409	0.22457	0.263822	0.269522	0.242086	0.285999	0.226596	0.205365	0.282041	1.26459	0.944731	3.49108	1.07228	0.651886	0.741695	5858	1.18688	3033	3516	4507	24933	4.7443	193	331	551	0	0.424417	0.452613	0.0907632	0.0225805	0.0096258	0	0
"SA2-1-8_121028160546.mzML"	2012-10-28T16:05:46Z	0.165627	18.7006	25.0227	34.744	1.05305	1.12636	4.29403	7199.72	0.26228	0.114513	0.205253	0.417955	0.220705	0.260304	0.280258	0.238733	0.282504	0.228414	0.201613	0.287469	1.22558	1.00387	3.29888	1.18879	0.643019	0.885342	5839	1.20717	2775	3261	4461	24042	4.84966	190	328	554.75	4.15939e-05	0.449463	0.436569	0.0812744	0.0221695	0.0104817	0	0
"SA2-1-8.mzML"	2012-10-28T13:54:08Z	0.159303	22.2659	30.3647	40.0889	0.970359	1.00382	4.17773	7200.21	0.29945	0.133398	0.169727	0.397425	0.221497	0.259816	0.278824	0.239863	0.290384	0.229535	0.198818	0.281263	1.23156	1.00874	3.42524	1.16775	0.693107	0.708438	5898	1.19947	2899	3389	4491	24444	4.97325	190	330	558	0	0.433153	0.447513	0.0852561	0.0229095	0.0111684	0	0
"SW1-1-2.mzML"	2012-10-29T14:35:35Z	0.152342	18.8078	25.0165	34.7874	1.22102	1.34587	5.87843	7199.97	0.108179	0.0907061	0.473695	0.32742	0.277748	0.248362	0.237181	0.23671	0.153919	0.124087	0.283092	0.438902	0.827329	0.813171	3.98124	0.3054	0.659638	3.17355	8011	1.21249	1756	2074	2388	9564	4.40242	176	294	472	0.000313676	0.648264	0.315977	0.0287537	0.00470514	0.00198662	0	0
"SW1-1-10.mzML"	2012-10-30T08:08:39Z	0.146816	15.0776	20.9234	32.6567	1.11368	1.33742	5.02909	7199.49	0.109262	0.0558694	0.200037	0.634832	0.213937	0.282785	0.297414	0.205864	0.247067	0.208248	0.210741	0.333944	1.07422	0.890162	5.14137	0.541184	0.640811	2.53055	6204	1.20025	2449.75	2944	3447	20025	3.95828	213	372	594	0	0.526891	0.40035	0.0500375	0.0138327	0.00883895	4.99376e-05	0
"SA2-1-9.mzML"	2012-10-28T18:17:27Z	0.164095	12.9214	17.1372	27.6952	0.99061	1.15586	4.74616	7199.55	0.208969	0.134052	0.247324	0.409655	0.221377	0.261695	0.293438	0.223489	0.277954	0.218657	0.196195	0.307194	1.23859	0.933135	3.62242	0.854837	0.758586	1.34252	5891	1.19945	2555	3097	4223.5	23206	4.78863	198	346	581	0	0.465569	0.438335	0.066276	0.0188744	0.0109454	0	0
"SA2-1-9_121028202914.mzML"	2012-10-28T20:29:13Z	0.153018	23.3379	30.9408	38.4504	1.09205	0.96702	4.31232	7199.4	0.218909	0.129319	0.233555	0.418217	0.229338	0.257163	0.283712	0.229786	0.275353	0.223401	0.199077	0.302169	1.2333	1.05531	3.89452	0.978487	0.656329	1.15016	6086	1.20357	2747	3203	4161.75	23115	4.81843	194	348	588	0	0.47255	0.434696	0.0654121	0.0170885	0.0102531	0	0
