Filename	StartTimeStamp	XIC-WideFrac	XIC-FWHM-Q1	XIC-FWHM-Q2	XIC-FWHM-Q3	XIC-Height-Q2	XIC-Height-Q3	XIC-Height-Q4	RT-Duration	RT-TIC-Q1	RT-TIC-Q2	RT-TIC-Q3	RT-TIC-Q4	RT-MS-Q1	RT-MS-Q2	RT-MS-Q3	RT-MS-Q4	RT-MSMS-Q1	RT-MSMS-Q2	RT-MSMS-Q3	RT-MSMS-Q4	MS1-TIC-Change-Q2	MS1-TIC-Change-Q3	MS1-TIC-Change-Q4	MS1-TIC-Q2	MS1-TIC-Q3	MS1-TIC-Q4	MS1-Count	MS1-Freq-Max	MS1-Density-Q1	MS1-Density-Q2	MS1-Density-Q3	MS2-Count	MS2-Freq-Max	MS2-Density-Q1	MS2-Density-Q2	MS2-Density-Q3	MS2-PrecZ-1	MS2-PrecZ-2	MS2-PrecZ-3	MS2-PrecZ-4	MS2-PrecZ-5	MS2-PrecZ-more	MS2-PrecZ-likely-1	MS2-PrecZ-likely-multi
"Lung_2.raw"	2016-03-09T00:43:02Z	0.0963524	37.9542	48.0008	66.826	0.56938	0.247376	0.998589	1079.84	0.0545362	0.284756	0.235811	0.424896	0.578778	0.19987	0.0882662	0.133086	0.352328	0.328647	0.190396	0.128629	0.893966	0.688205	5.03553	0.832505	2.00265	3.23768	2392	6.44846	216	469	674	1453	3.24208	7	15	45	0.995182	0.00481762	0	0	0	0	0	0
"Lung_3.raw"	2016-03-09T01:06:10Z	0.103121	42.4441	51.9186	82.3399	0.437791	0.203668	1.20582	1079.88	0.0558494	0.285486	0.232542	0.426123	0.5791	0.199192	0.0875897	0.134118	0.354755	0.328203	0.190055	0.126987	0.789757	0.696596	4.95513	0.749534	2.03667	3.21031	2398	6.44889	227	458.5	672	1474	3.21971	7	14	43	0.991859	0.00814111	0	0	0	0	0	0
"Ovaries_4.raw"	2016-03-09T03:48:12Z	0.110801	32.6053	37.7165	44.6533	0.171761	0.193742	1.45047	1079.66	0.230743	0.222786	0.186972	0.3595	0.607427	0.169652	0.0900721	0.132848	0.351851	0.327265	0.192939	0.127944	0.86345	0.596626	2.67506	0.579726	1.93059	1.29346	2460	6.46039	218	395.5	663	1435	3.21949	6	15	44	0.993031	0.00627178	0.000696864	0	0	0	0	0
"Ovaries_5.raw"	2016-03-09T04:11:21Z	0.111111	37.711	42.4701	63.5177	0.189173	0.436754	1.53931	1079.75	0.240075	0.214475	0.181058	0.364392	0.597805	0.179481	0.0889734	0.13374	0.354364	0.326436	0.196296	0.122903	0.794117	0.630545	2.53917	0.619409	1.94794	1.05792	2417	6.47736	231	424	665	1440	3.14764	6	15	43.25	0.988194	0.0118056	0	0	0	0	0	0
"Ovaries_6.raw"	2016-03-09T04:34:29Z	0.111972	35.5216	43.2362	66.2213	0.452947	0.165198	0.80115	1079.77	0.22393	0.223544	0.187108	0.365417	0.602253	0.175834	0.0886494	0.133263	0.347277	0.329818	0.193908	0.128998	0.867611	0.638085	2.5609	0.688142	1.91521	1.24701	2443	6.57311	212	396	665	1420	3.14974	7	15	46	0.991549	0.0084507	0	0	0	0	0	0
"Pancreas_1.raw"	2016-03-09T10:21:40Z	0.112169	38.0516	46.5349	67.4866	0.598262	0.551626	0.711964	1079.87	0.171264	0.255603	0.19515	0.377982	0.571077	0.205843	0.0919651	0.131115	0.358517	0.325185	0.172215	0.144083	0.727985	0.560758	2.9709	0.560174	1.60931	1.93732	2328	5.94887	261	456	664.25	1471	3.09883	6	12	39	0.992522	0.0067981	0.00067981	0	0	0	0	0
"Pancreas_2.raw"	2016-03-09T10:44:48Z	0.0871622	35.4139	42.3242	71.2043	0.378176	0.383268	0.427927	1079.79	0.161224	0.256587	0.202196	0.379994	0.570156	0.208307	0.0902587	0.131279	0.35939	0.325527	0.175665	0.139418	0.787715	0.606954	2.68335	0.564715	1.67808	1.78762	2329	6.18549	257	463	673	1480	3.13633	6	12	42	0.988514	0.0114865	0	0	0	0	0	0
"Pancreas_3.raw"	2016-03-09T11:07:57Z	0.110505	27.5717	33.8022	43.7964	0.470983	0.23919	0.664448	1079.67	0.171771	0.252461	0.19365	0.382119	0.572787	0.207169	0.0902723	0.129771	0.359443	0.32417	0.163655	0.152731	0.786471	0.634311	2.72213	0.604634	1.69474	1.84109	2340	6.20629	248.75	461.5	675	1466	3.11148	6	12	42	0.99045	0.0095498	0	0	0	0	0	0
"QC_1.raw"	2018-03-19T14:15:13Z	0.24122	9.14682	10.3883	12.2216	1.32777	1.01513	3.90523	1799.82	0.769096	0.0537525	0.0873468	0.0898052	0.517482	0.268948	0.106675	0.106896	0.266064	0.265251	0.256465	0.212221	1.84958	1.32783	3.36431	0.86396	0.509575	2.21926	6323	8.28641	1026	1232	1323	2164	2.0443	7	19	32	0	0	0	0	0	0	0.913124	0.0868762
"QC_1_1.raw"	2016-03-08T20:28:24Z	0.116479	20.6677	26.4712	33.0009	0.432017	0.500489	2.81718	1079.85	0.122042	0.303535	0.20091	0.373512	0.575384	0.201763	0.0904632	0.132389	0.363969	0.323999	0.183615	0.128417	0.86501	0.742533	2.54716	0.950657	1.66308	1.76615	2367	6.1449	220.5	493	674	1511	3.25963	7	15	50	0.992058	0.00794176	0	0	0	0	0	0
"QC_1_2.raw"	2016-03-09T01:29:19Z	0.124317	27.6299	32.2085	35.2637	0.420808	0.604358	0.618733	1079.76	0.144429	0.284889	0.195031	0.375651	0.589738	0.190398	0.0875148	0.132349	0.353635	0.327919	0.181893	0.136553	0.864288	0.637739	2.94139	0.717369	1.74782	1.84142	2410	6.53037	213	449	667	1464	3.18441	7	14.5	48	0.989754	0.0102459	0	0	0	0	0	0
"QC_1_3.raw"	2016-03-09T06:30:12Z	0.138587	26.6462	30.4732	40.9198	0.582401	0.176265	1.00883	1079.69	0.145849	0.280993	0.195258	0.3779	0.582084	0.197016	0.0893163	0.131584	0.357206	0.327157	0.177017	0.138619	0.792995	0.638653	2.56981	0.675704	1.68663	1.79639	2376	6.47811	225.75	441	663	1472	3.11624	6	14	45.25	0.991168	0.00883152	0	0	0	0	0	0
"QC_2.raw"	2018-03-19T18:27:36Z	0.224114	9.41933	10.5145	13.8749	1.2226	0.999438	3.89161	1799.74	0.770852	0.0548929	0.0852297	0.0890258	0.517989	0.268662	0.106529	0.10682	0.266422	0.271469	0.253632	0.208477	1.76284	1.31468	3.94695	0.888155	0.508433	2.7766	6323	8.28529	1022	1240	1329	2173	2.06274	7	21	32	0	0	0	0	0	0	0.910723	0.0892775
"QC_2_1.raw"	2016-03-09T14:13:05Z	0.111785	27.1416	31.549	37.1227	0.327836	0.138191	1.08761	1079.86	0.148396	0.274915	0.198861	0.377827	0.566843	0.208468	0.0927884	0.1319	0.360823	0.32495	0.175804	0.138423	0.786203	0.555976	2.59767	0.487946	1.63182	1.87803	2307	5.9675	273.5	451	655.5	1485	3.08083	5	12	43	0.983838	0.0148148	0.0013468	0	0	0	0	0
"QC_2_2.raw"	2016-03-09T19:13:56Z	0.139087	24.9332	30.3333	36.7584	0.643441	0.262087	0.705501	1079.74	0.152547	0.270262	0.198068	0.379123	0.598147	0.185231	0.0894424	0.12718	0.340064	0.334559	0.166288	0.159089	0.719583	0.605636	2.64491	0.513594	1.59233	1.90939	2430	6.46662	243.25	415	650	1402	2.92192	6	13.5	44	0.982168	0.0164051	0.00142653	0	0	0	0	0
